#Time Flux Flux-Trend Trend
2852.12454858 0.98908004 0.98627724 0.00280281
2852.14498019 0.97688136 0.97421973 0.00266163
2852.18584369 0.96140578 0.95962060 0.00178519
2852.20627529 0.96094755 0.95994864 0.00099890
2852.22670699 0.96090872 0.96072048 0.00018824
2852.24713880 0.96002741 0.96082602 -0.00079860
2852.26757040 0.95908743 0.96111715 -0.00202972
2852.28800210 0.95893612 0.96229133 -0.00335521
2852.30843380 0.95761943 0.96228752 -0.00466808
2852.32886550 0.95745491 0.96347932 -0.00602441
2852.34929730 0.95636919 0.96273811 -0.00636892
2852.36972890 0.95951677 0.96661589 -0.00709913
2852.39016060 0.97018321 0.97784625 -0.00766304
2852.41059240 0.98215990 0.99034367 -0.00818378
2852.43102410 0.99142081 1.00003896 -0.00861815
2852.45145570 0.99243987 1.00128685 -0.00884697
2852.47188750 0.99271200 1.00171775 -0.00900575
2852.49231920 0.99215985 1.00147544 -0.00931559
2852.51275080 0.99296776 1.00213016 -0.00916240
2852.53318260 0.99401187 1.00283677 -0.00882490
2852.55361429 0.99601219 1.00436563 -0.00835344
2852.57404589 0.99777503 1.00574855 -0.00797352
2852.59447769 0.99979239 1.00727875 -0.00748636
2852.61490939 1.00302754 1.01003197 -0.00700443
2852.63534099 1.00594579 1.01228380 -0.00633800
2852.67620448 1.01030813 1.01503808 -0.00472995
2852.69663628 1.01057211 1.01432768 -0.00375557
2852.71706787 1.01089132 1.01368091 -0.00278959
2852.73749957 1.01148312 1.01328096 -0.00179784
2852.75793137 1.01340683 1.01425103 -0.00084421
2852.77836296 1.01473917 1.01468715 0.00005201
2852.79879466 1.01635394 1.01559449 0.00075945
2852.81922646 1.01660745 1.01526897 0.00133849
2852.83965805 1.01796924 1.01651963 0.00144961
2852.86008975 1.01865577 1.01696111 0.00169466
2852.88052154 1.01912300 1.01706028 0.00206271
2852.90095324 1.01988522 1.01752971 0.00235551
2852.92138483 1.01992449 1.01731502 0.00260948
2852.94181663 1.01861417 1.01583313 0.00278104
2852.96224832 1.01663163 1.01367770 0.00295392
2852.98267991 1.01371292 1.01070622 0.00300670
2853.00311171 1.01050881 1.00738536 0.00312345
2853.02354340 1.00806423 1.00481265 0.00325158
2853.04397509 1.00572773 1.00260638 0.00312135
2853.06440679 1.00297621 0.99993198 0.00304423
2853.08483838 1.00073638 0.99785430 0.00288208
