#Time Flux Flux-Trend Trend
2852.34929730 -0.00636892 -0.00125208 -0.00511684
2852.36972890 -0.00709913 -0.00135791 -0.00574122
2852.39016060 -0.00766304 -0.00138803 -0.00627500
2852.41059240 -0.00818378 -0.00147054 -0.00671324
2852.43102410 -0.00861815 -0.00156672 -0.00705144
2852.45145570 -0.00884697 -0.00153162 -0.00731535
2852.47188750 -0.00900575 -0.00163720 -0.00736854
2852.49231920 -0.00931559 -0.00185847 -0.00745711
2852.51275080 -0.00916240 -0.00185828 -0.00730412
2852.53318260 -0.00882490 -0.00168784 -0.00713706
2852.55361429 -0.00835344 -0.00143651 -0.00691693
2852.57404589 -0.00797352 -0.00127849 -0.00669503
2852.59447769 -0.00748636 -0.00112239 -0.00636397
2852.61490939 -0.00700443 -0.00103660 -0.00596783
2852.63534099 -0.00633800 -0.00075178 -0.00558623
2852.67620448 -0.00472995 0.00006613 -0.00479608
2852.69663628 -0.00375557 0.00062620 -0.00438177
2852.71706787 -0.00278959 0.00124450 -0.00403410
2852.73749957 -0.00179784 0.00187001 -0.00366785
2852.75793137 -0.00084421 0.00253723 -0.00338143
2852.77836296 0.00005201 0.00320118 -0.00314917
2852.79879466 0.00075945 0.00379646 -0.00303701
2852.81922646 0.00133849 0.00438400 -0.00304551
2852.83965805 0.00144961 0.00461318 -0.00316357
2852.86008975 0.00169466 0.00488871 -0.00319405
2852.88052154 0.00206271 0.00532277 -0.00326005
2852.90095324 0.00235551 0.00572520 -0.00336970
2852.92138483 0.00260948 0.00607024 -0.00346077
2852.94181663 0.00278104 0.00637854 -0.00359749
2852.96224832 0.00295392 0.00672726 -0.00377334
2852.98267991 0.00300670 0.00692259 -0.00391589
2853.00311171 0.00312345 0.00723152 -0.00410807
2853.02354340 0.00325158 0.00752346 -0.00427187
2853.04397509 0.00312135 0.00758744 -0.00446609
2853.06440679 0.00304423 0.00761058 -0.00456635
2853.08483838 0.00288208 0.00757244 -0.00469036
2853.10527017 0.00257231 0.00734126 -0.00476895
2853.12570187 0.00230297 0.00708534 -0.00478237
2853.14613346 0.00221171 0.00695214 -0.00474043
2853.16656525 0.00204454 0.00665699 -0.00461244
2853.18699694 0.00176365 0.00623611 -0.00447247
2853.20742854 0.00136673 0.00564586 -0.00427913
2853.22786033 0.00123361 0.00547595 -0.00424233
2853.24829202 0.00024400 0.00437378 -0.00412978
2853.26872371 -0.00064895 0.00345397 -0.00410292
2853.28915540 -0.00153528 0.00259157 -0.00412686
2853.30958709 -0.00247976 0.00171585 -0.00419561
2853.33001878 -0.00335067 0.00094146 -0.00429214
2853.35045047 -0.00422541 0.00011659 -0.00434200
2853.37088216 -0.00518290 -0.00077215 -0.00441075
2853.41174564 -0.00753810 -0.00298131 -0.00455680
2853.43217723 -0.00882158 -0.00426003 -0.00456155
2853.45260902 -0.01011275 -0.00555731 -0.00455544
2853.47304071 -0.01084878 -0.00623671 -0.00461207
2853.49347230 -0.01173043 -0.00717752 -0.00455292
2853.51390409 -0.01234263 -0.00774248 -0.00460015
2853.53433578 -0.01272043 -0.00808176 -0.00463868
2853.55476737 -0.01286915 -0.00808678 -0.00478237
2853.57519916 -0.01255520 -0.00785271 -0.00470249
2853.59563084 -0.01212259 -0.00739465 -0.00472795
2853.61606243 -0.01166636 -0.00701475 -0.00465161
2853.65692591 -0.01078848 -0.00639628 -0.00439220
2853.67735749 -0.01042453 -0.00615275 -0.00427178
2853.69778928 -0.01018424 -0.00603429 -0.00414995
2853.71822097 -0.01000692 -0.00600153 -0.00400539
2853.73865266 -0.00938333 -0.00558109 -0.00380223
2853.75908434 -0.00858481 -0.00490727 -0.00367754
2853.77951603 -0.00780425 -0.00427036 -0.00353389
2853.79994771 -0.00686624 -0.00336102 -0.00350522
2853.82037940 -0.00665756 -0.00319818 -0.00345938
2853.84081109 -0.00623329 -0.00278880 -0.00344449
2853.86124277 -0.00588258 -0.00258520 -0.00329738
2853.88167446 -0.00536857 -0.00217866 -0.00318991
2853.90210614 -0.00473887 -0.00171414 -0.00302473
2853.92253783 -0.00389416 -0.00101423 -0.00287993
2853.94296951 -0.00301653 -0.00039087 -0.00262566
2853.96340120 -0.00281875 -0.00025053 -0.00256822
2853.98383298 -0.00207805 0.00020156 -0.00227961
2854.00426457 -0.00138846 0.00058014 -0.00196860
2854.02469625 -0.00086758 0.00072335 -0.00159093
2854.04512803 -0.00031191 0.00087297 -0.00118489
2854.06555962 0.00019650 0.00100079 -0.00080429
2854.08599130 0.00058675 0.00103504 -0.00044828
2854.10642308 0.00081821 0.00090221 -0.00008400
2854.14728645 0.00137882 0.00080786 0.00057096
2854.16771813 0.00162939 0.00070438 0.00092501
2854.18814971 0.00187063 0.00051821 0.00135242
2854.20858150 0.00207821 0.00035574 0.00172248
2854.22901318 0.00218437 -0.00005356 0.00223794
2854.24944486 0.00232747 -0.00042761 0.00275508
2854.26987654 0.00233039 -0.00096609 0.00329647
2854.29030822 0.00229016 -0.00152258 0.00381274
2854.31073991 0.00266272 -0.00139718 0.00405990
2854.33117159 0.00305877 -0.00147848 0.00453725
2854.35160327 0.00377304 -0.00126092 0.00503396
2854.37203495 0.00490928 -0.00062586 0.00553513
2854.39246663 0.00610160 0.00008467 0.00601692
2854.41289831 0.00732644 0.00077872 0.00654772
2854.43332999 0.00844377 0.00136528 0.00707849
2854.45376167 0.00901556 0.00165021 0.00736535
2854.47419335 0.01000569 0.00200634 0.00799935
