#TIME(DAYS_BJD-2454833),FLUX(NORMALIZED)
2.851450302077631932e+03,1.010741083250579875e+00
2.851470733787282370e+03,1.011108476914106546e+00
2.851491165496932808e+03,1.012217691420966403e+00
2.851511597206110309e+03,1.013668442664498626e+00
2.851532028915062256e+03,1.016004464418194253e+00
2.851552460624014202e+03,1.015671145973299883e+00
2.851572892332493211e+03,1.015889688845594385e+00
2.851593323940978735e+03,1.015552130290954258e+00
2.851613755749232951e+03,1.016013244992730380e+00
2.851634187457013468e+03,1.014735022769901018e+00
2.851654619264802022e+03,1.014276775457667146e+00
2.851695482579671079e+03,1.010392006353164840e+00
2.851715914386761142e+03,1.009192005554435667e+00
2.851736345993616851e+03,1.006707746868053865e+00
2.851756777700466046e+03,1.005406032079622980e+00
2.851777209506857616e+03,1.004481426101991204e+00
2.851797641113014834e+03,1.004434061109523268e+00
2.851818072819165536e+03,1.002941807831697396e+00
2.851838504624858615e+03,1.001877291199508857e+00
2.851858936230550171e+03,1.001089901392302917e+00
2.851879367935769551e+03,1.000601537264566687e+00
2.851899799740996968e+03,1.001407733884798423e+00
2.851920231345990032e+03,1.002766131546882766e+00
2.851940663050743751e+03,1.002949710549690288e+00
2.851961094855272677e+03,1.003568899545059567e+00
2.851981526559568010e+03,1.003526608893340777e+00
2.852001958263623237e+03,1.004070138947826596e+00
2.852022389967452909e+03,1.005024282609601860e+00
2.852042821671275306e+03,1.006251538936040912e+00
2.852063253474640078e+03,1.006928435160737267e+00
2.852083685077770497e+03,1.009229911483894737e+00
2.852104116780894401e+03,1.001963066771171862e+00
2.852124548583793512e+03,9.890800424402286239e-01
2.852144980186458270e+03,9.768813603105842569e-01
2.852185843690851470e+03,9.614057828250180959e-01
2.852206275292817736e+03,9.609475460196331698e-01
2.852226706994777487e+03,9.609087151641604319e-01
2.852247138796279614e+03,9.600274133414188338e-01
2.852267570397547388e+03,9.590874258836021848e-01
2.852288002098808647e+03,9.589361220065877323e-01
2.852308433799611521e+03,9.576194344358527344e-01
2.852328865500414395e+03,9.574549098321601948e-01
2.852349297300745093e+03,9.563691910283721453e-01
2.852369728901081544e+03,9.595167650955555017e-01
2.852390160601185926e+03,9.701832102277286873e-01
2.852410592401050963e+03,9.821598957854916767e-01
2.852431024100689683e+03,9.914208096574622653e-01
2.852451455700327642e+03,9.924398742554393360e-01
2.852471887499494187e+03,9.927120041407269113e-01
2.852492319198434416e+03,9.921598518196365069e-01
2.852512750797373883e+03,9.929677557705313129e-01
2.852533182596074766e+03,9.940118721727092543e-01
2.852553614294549334e+03,9.960121865246736039e-01
2.852574045892557479e+03,9.977750304272483550e-01
2.852594477690559870e+03,9.997923949602781635e-01
2.852614909388568776e+03,1.003027540020484665e+00
2.852635340986111260e+03,1.005945792106490932e+00
2.852676204480725573e+03,1.010308133604545855e+00
2.852696636277571088e+03,1.010572112318959492e+00
2.852717067874407803e+03,1.010891321109615992e+00
2.852737499571019725e+03,1.011483122401096280e+00
2.852757931367392302e+03,1.013406825466713235e+00
2.852778362963537802e+03,1.014739165648280483e+00
2.852798794659451232e+03,1.016353943680284200e+00
2.852819226455132593e+03,1.016607453302263320e+00
2.852839658050805156e+03,1.017969240195772951e+00
2.852860089746020094e+03,1.018655771249987740e+00
2.852880521541228518e+03,1.019122997196566072e+00
2.852900953235977795e+03,1.019885219889627770e+00
2.852921384830726311e+03,1.019924493149276801e+00
2.852941816625243519e+03,1.018614174714522091e+00
2.852962248319752689e+03,1.016631625848691822e+00
2.852982679913802713e+03,1.013712923722517756e+00
2.853003111707614153e+03,1.010508809866784485e+00
2.853023543401432107e+03,1.008064228050652877e+00
2.853043975094784400e+03,1.005727732138554709e+00
2.853064406788136694e+03,1.002976213942537331e+00
2.853084838381248119e+03,1.000736382504934019e+00
2.853105270174135512e+03,9.983112611071547349e-01
2.853125701867014868e+03,9.968144934924269007e-01
2.853146133459435077e+03,9.953377654137667285e-01
2.853166565251623979e+03,9.943518264152413355e-01
2.853186996943812119e+03,9.929954427615989010e-01
2.853207428535759391e+03,9.901538088219458134e-01
2.853227860327482631e+03,9.883365036408104931e-01
2.853248292018965003e+03,9.859300297345344744e-01
2.853268723710221821e+03,9.826754241783458577e-01
2.853289155401245807e+03,9.787439799119801442e-01
2.853309587092269794e+03,9.691043015670198768e-01
2.853330018782820844e+03,9.419765641774675569e-01
2.853350450473379169e+03,9.067517939171458874e-01
2.853370882163697388e+03,8.714778300915235754e-01
2.853411745643650647e+03,8.427745913471679229e-01
2.853432177233276889e+03,8.412055169688357203e-01
2.853452609022897377e+03,8.412783945493991222e-01
2.853473040712291549e+03,8.414109145484836016e-01
2.853493472301212023e+03,8.436487895863500341e-01
2.853513904090141295e+03,8.461233729212320753e-01
2.853534335778836976e+03,8.485621824882266795e-01
2.853554767367531895e+03,8.519012668624632578e-01
2.853575199155755399e+03,8.639398112238847460e-01
2.853595630843985418e+03,8.928160217274980770e-01
2.853616062431741739e+03,9.251363837262154277e-01
2.853656925907038385e+03,9.696791743703775390e-01
2.853677357494336320e+03,9.734002321292439808e-01
2.853697789281628502e+03,9.768434250384161466e-01
2.853718220968461537e+03,9.790516887288592818e-01
2.853738652655287297e+03,9.819665147416458684e-01
2.853759084341887501e+03,9.849350716001994410e-01
2.853779516028254875e+03,9.875341403020985176e-01
2.853799947714382142e+03,9.904250651630406299e-01
2.853820379400283855e+03,9.924579359599754458e-01
2.853840811086185568e+03,9.940269427477159692e-01
2.853861242771614343e+03,9.959132781216247787e-01
2.853881674457050394e+03,9.984426238297032796e-01
2.853902106142253615e+03,1.000738194818695748e+00
2.853922537827216729e+03,1.003905515116632063e+00
2.853942969512187119e+03,1.005550330490334376e+00
2.853963401196691848e+03,1.007590934402043059e+00
2.853983832981190062e+03,1.010836992681830360e+00
2.854004264565461199e+03,1.012581844104177620e+00
2.854024696249500266e+03,1.015096338086028060e+00
2.854045128033299989e+03,1.018668745124350572e+00
2.854065559616872633e+03,1.022209891188192055e+00
2.854085991300446040e+03,1.024397030401136721e+00
2.854106423083780101e+03,1.026063709338914887e+00
2.854147286449762760e+03,1.022188249083665124e+00
2.854167718132397567e+03,1.020919764070748803e+00
2.854188149714806059e+03,1.018664667849940253e+00
2.854208581497216073e+03,1.016793853026245920e+00
2.854229013179385220e+03,1.014187633484532114e+00
2.854249444861328811e+03,1.012523399625310017e+00
2.854269876543039572e+03,1.012081744592780996e+00
2.854290308224510227e+03,1.009877952088917397e+00
2.854310739905988157e+03,1.009503805539156973e+00
2.854331171587233257e+03,1.008625820724812439e+00
2.854351603268238250e+03,1.008841993718585517e+00
2.854372034949017689e+03,1.008661674614413917e+00
2.854392466629564296e+03,1.009846175964406623e+00
2.854412898310103628e+03,1.010565250259440440e+00
2.854433329990184575e+03,1.010978539716459235e+00
2.854453761670258245e+03,1.011505101068857826e+00
2.854474193350106361e+03,1.012734360759036889e+00
2.854494625129955239e+03,1.014587367957828556e+00
2.854515056709336932e+03,1.016832632001097414e+00
2.854535488388712110e+03,1.012488316906344332e+00
2.854555920167862496e+03,1.002302795751653264e+00
2.854576351746771252e+03,9.899500865847215003e-01
2.854596783425455214e+03,9.834818374071675473e-01
2.854637646782357479e+03,9.777630449077653330e-01
2.854658078460568504e+03,9.786494148461855058e-01
2.854678510238554736e+03,9.792141193075597494e-01
2.854698941816532169e+03,9.794577744385218887e-01
2.854719373494051979e+03,9.808271441871324603e-01
2.854739805271572550e+03,9.811925013241378224e-01
2.854760236848858767e+03,9.814498244803054883e-01
2.854780668525905639e+03,9.814580995190953505e-01
2.854801100302727718e+03,9.846200501299241514e-01
2.854821531979541760e+03,9.938960933592173586e-01
2.854841963656130247e+03,1.004952252657567824e+00
2.854862395332485903e+03,1.013158271345470096e+00
2.854882827008601453e+03,1.013995772104545168e+00
2.854903258684491448e+03,1.012494181913139002e+00
2.854923690360381443e+03,1.012531803160479082e+00
2.854944122036031331e+03,1.011817127950332518e+00
2.854964553811456426e+03,1.010841772582046882e+00
2.854984985386647168e+03,1.010452636448713859e+00
2.855005417061831395e+03,1.010750196983758231e+00
2.855025848836557998e+03,1.010970734323442199e+00
2.855046280411283078e+03,1.012257540999501160e+00
2.855066712086001644e+03,1.013315816777089706e+00
2.855087143860262586e+03,1.014070200112795028e+00
2.855107575434522005e+03,1.014619157029440277e+00
2.855128007208310009e+03,1.015252131147905246e+00
2.855148438882104529e+03,1.016282809466370285e+00
2.855168870455898286e+03,1.015331869904325002e+00
2.855189302229220630e+03,1.014264704097980641e+00
2.855209733802548726e+03,1.012701934704474116e+00
2.855230165475644753e+03,1.010992634941214385e+00
2.855250597248501435e+03,1.010803657586031079e+00
2.855271028821131040e+03,1.008774822403600835e+00
2.855291460493761406e+03,1.007015427735426849e+00
2.855311892266152427e+03,1.004229341467096859e+00
2.855332323938317131e+03,1.003340860936773993e+00
2.855373187282173603e+03,1.005012595901223049e+00
2.855393618953872647e+03,1.004621137423114652e+00
2.855414050525338098e+03,1.003728337114093261e+00
2.855434482296564966e+03,1.002427677186636501e+00
2.855454913967798348e+03,1.000999121885298271e+00
2.855475345738799660e+03,9.982510975688481114e-01
2.855495777309559344e+03,9.959759653515057876e-01
2.855516208980094234e+03,9.943349495542272987e-01
2.855536640750389779e+03,9.932700028863873376e-01
2.855557072320691077e+03,9.916980873699241528e-01
2.855577503990760306e+03,9.903101992226913675e-01
2.855618367330425826e+03,9.914314318173225171e-01
2.855638799000029394e+03,9.879375249043881313e-01
2.855659230769393616e+03,9.848580874820168640e-01
2.855679662338530761e+03,9.818221176044080734e-01
2.855700094007435837e+03,9.792218305787323551e-01
2.855720525776341674e+03,9.779223186132879331e-01
2.855740957345005882e+03,9.695473942854391236e-01
2.855761389013445296e+03,9.441284578059397914e-01
2.855781820781878196e+03,9.109182346447355361e-01
2.855802252450084779e+03,8.772562129825668409e-01
2.855822684118058532e+03,8.569380038328290317e-01
2.855843115785799455e+03,8.542911612851016301e-01
2.855863547453300271e+03,8.538658242549078681e-01
2.855883979120808362e+03,8.540178767281263461e-01
2.855904410788076348e+03,8.564867248029219837e-01
2.855924842355350847e+03,8.573497490565925583e-01
2.855945274122161209e+03,8.581793902183429967e-01
2.855965705788970808e+03,8.594699830215947189e-01
2.855986137455540302e+03,8.589366794797078652e-01
2.856006569121884240e+03,8.698101748272556444e-01
2.856027000788220903e+03,8.981401747944089964e-01
2.856108727351493144e+03,9.688182750524262365e-01
2.856129159116906521e+03,9.699584432208278040e-01
2.856149590782079031e+03,9.710749953325351624e-01
2.856170022547259578e+03,9.724777767968805220e-01
2.856190454112205771e+03,9.745958657753894805e-01
2.856210885776919895e+03,9.767759924481527189e-01
2.856231317541394674e+03,9.792730324606041536e-01
2.856251749105875206e+03,9.835230463095163689e-01
2.856272180770116393e+03,9.871123542450183086e-01
2.856292612534132786e+03,9.920335492662479826e-01
2.856313044197915588e+03,9.959041401320753994e-01
2.856333475761697628e+03,9.998668922953865001e-01
2.856353907525241084e+03,1.003838489002450984e+00
2.856374339188558224e+03,1.008184017658352083e+00
2.856394770751867327e+03,1.010772709117953028e+00
2.856415202514719567e+03,1.015475368001335976e+00
2.856435634177803877e+03,1.018499115863355176e+00
2.856456065740421764e+03,1.020811309633181008e+00
2.856476497503033897e+03,1.022695383973285743e+00
2.856496929165419715e+03,1.024496975019507650e+00
2.856517360927566187e+03,1.022294441185834568e+00
2.856537792489485582e+03,1.023157133035816235e+00
2.856558224151405739e+03,1.022113488232946787e+00
2.856599087474773114e+03,1.017704528708727185e+00
2.856619519136227609e+03,1.015936300039077755e+00
2.856639950897442759e+03,1.014075651177749782e+00
2.856660382458430831e+03,1.011944312234425825e+00
2.856680814119419665e+03,1.009848208243376622e+00
2.856701245779935562e+03,1.008026945650740469e+00
2.856721677440691565e+03,1.005756287719167918e+00
2.856742109100981907e+03,1.003112449880619206e+00
2.856762540761264972e+03,1.000296905904295430e+00
2.856782972421322484e+03,9.964660958491785570e-01
2.856803404081147164e+03,9.929038599707870061e-01
2.856823835840965330e+03,9.893272223439730784e-01
2.856844267400556419e+03,9.876914518615251826e-01
2.856864699159908923e+03,9.847866201814066134e-01
2.856885130819267943e+03,9.842847173640436598e-01
2.856905562378393370e+03,9.830315034176754230e-01
2.856925994137287489e+03,9.831298435642570333e-01
2.856946425795940740e+03,9.825397413293268656e-01
2.856966857354600506e+03,9.762073780837394743e-01
2.856987289113021689e+03,9.652269845919254632e-01
2.857007720771449385e+03,9.547321165506854612e-01
2.857028152329643490e+03,9.490741074244687381e-01
2.857048584087606287e+03,9.495623037703985192e-01
2.857069015745328215e+03,9.505128973720924357e-01
2.857089447303056659e+03,9.520017902319318770e-01
2.857109879060546518e+03,9.548320681630043660e-01
2.857130310717810062e+03,9.558832374226461370e-01
2.857150742475074367e+03,9.578299964956699108e-01
2.857171174032104318e+03,9.592374713159852462e-01
2.857191605688894924e+03,9.600228766383742673e-01
2.857212037445693568e+03,9.615591910471924519e-01
2.857232469002250582e+03,9.654199222195153363e-01
2.857252900658582803e+03,9.750339354465435981e-01
2.857273332414682955e+03,9.857304250863634376e-01
2.857293764070775069e+03,9.966614736216493631e-01
2.857334627382508188e+03,1.007491123285439993e+00
2.857355059038134641e+03,1.008202587483707502e+00
2.857375490593534778e+03,1.007400724377671697e+00
2.857395922348936438e+03,1.007321862990583128e+00
2.857416353903870913e+03,1.006866381796756693e+00
2.857436785559031705e+03,1.007808825647724005e+00
2.857457217313734873e+03,1.009918311827535220e+00
2.857477648868429242e+03,1.010770454347649894e+00
2.857498080622899579e+03,1.011654810201134680e+00
2.857518512277369155e+03,1.011671632027833612e+00
2.857538943831372308e+03,1.011873032816713369e+00
2.857600238793136668e+03,1.013836978916749398e+00
2.857620670546675683e+03,1.011832639158632308e+00
2.857641102200213936e+03,1.010507194710974499e+00
2.857661533853512083e+03,1.009601786435276205e+00
2.857681965506584675e+03,1.008914555363397580e+00
2.857702397159424436e+03,1.008330622736131499e+00
2.857722828812256921e+03,1.006312851885710069e+00
2.857743260464863852e+03,1.005659803180463108e+00
2.857763692117470782e+03,1.004486888266090006e+00
2.857784123769837606e+03,1.004390872648879496e+00
2.857804555521979637e+03,1.004165412863089024e+00
2.857824987074120145e+03,1.002339082325885755e+00
2.857845418826022069e+03,9.999666099897591698e-01
2.857865850477697677e+03,9.979829365488891435e-01
2.857886282029372524e+03,9.956765954191357793e-01
2.857906713780808786e+03,9.928823067431290506e-01
2.857927145432018733e+03,9.914679827221826169e-01
2.857947576983227918e+03,9.895790784910779569e-01
2.857968008734198520e+03,9.877639151558516017e-01
2.857988440384942805e+03,9.854459546997507147e-01
2.858008871935686329e+03,9.828723807678252378e-01
2.858029303686191270e+03,9.799226418687015938e-01
2.858049735336702724e+03,9.786869275673729662e-01
2.858070166886980587e+03,9.766604286339334307e-01
2.858090598637019866e+03,9.735989455048065233e-01
2.858111030287065660e+03,9.710420631053240381e-01
2.858131462036646553e+03,9.705474311535784437e-01
2.858151893586451479e+03,9.695598800266742590e-01
2.858172325235798780e+03,9.645320511873038960e-01
2.858192756885146082e+03,9.429064849664501313e-01
2.858213188534486108e+03,9.110878475323473946e-01
2.858233620183600578e+03,8.782034739508535193e-01
2.858254051832482219e+03,8.576637351328691983e-01
2.858274483481123752e+03,8.542482230353372064e-01
2.858294915129772562e+03,8.534329889692897630e-01
2.858315346778188541e+03,8.541182086640982662e-01
2.858335778426597244e+03,8.549911272743075941e-01
2.858356210074780392e+03,8.561799344962524039e-01
2.858376641822731472e+03,8.579632556600587101e-01
2.858397073370673752e+03,8.606402392989546124e-01
2.858560526648667292e+03,9.889299764952934613e-01
2.858580958195219864e+03,9.900508527326205011e-01
2.858601389941541129e+03,9.907966830145662485e-01
2.858621821587861632e+03,9.923205221577826585e-01
2.858642253233942029e+03,9.934581526986426825e-01
2.858662684880029701e+03,9.948060990697145112e-01
2.858683116525877267e+03,9.962790483476398062e-01
2.858703548171732109e+03,9.970371699935370868e-01
2.858723979817354120e+03,9.980133209248698289e-01
2.858744411462743301e+03,9.979852267714678371e-01
2.858764843207893136e+03,9.984352967822849312e-01
2.858785274853049486e+03,9.997728357792299292e-01
2.858805706398197799e+03,1.000995013275502332e+00
2.858826138043121318e+03,1.002525066100002693e+00
2.858846569787812768e+03,1.003729835351640620e+00
2.858867001332269865e+03,1.004523415852646151e+00
2.858887433076721209e+03,1.006477963028636902e+00
2.858907864621178305e+03,1.007792333882670421e+00
2.858928296265396057e+03,1.009678364274018358e+00
2.858948728009389015e+03,1.011577000252410485e+00
2.858969159553264035e+03,1.013157284665676006e+00
2.858989591197023401e+03,1.014468268092295622e+00
2.859010022940659837e+03,1.015740642239518321e+00
2.859030454484069196e+03,1.017534060503593407e+00
2.859050886127472040e+03,1.019649834993408666e+00
2.859071317870650091e+03,1.019793545962056625e+00
2.859091749413710204e+03,1.021986155756158920e+00
2.859112181156648148e+03,1.023341707097750852e+00
2.859132612799476192e+03,1.024336540348353530e+00
2.859153044342070643e+03,1.025851141378857356e+00
2.859173476084542926e+03,1.025792941790055091e+00
2.859193907727021724e+03,1.026166987322915114e+00
2.859214339369151276e+03,1.026656368030732569e+00
2.859234771011273551e+03,1.026060676345353473e+00
2.859255202653286688e+03,1.026320052694056573e+00
2.859296065936840023e+03,1.023291711610501586e+00
2.859316497578387498e+03,1.022283957960511636e+00
2.859336929219818558e+03,1.020130637929918649e+00
2.859357360961010272e+03,1.017932349022050875e+00
2.859377792502207740e+03,1.015159046893508554e+00
2.859398224243166624e+03,1.007813448378183763e+00
2.859418655884132022e+03,9.945679590034065543e-01
2.859439087424863828e+03,9.805140212670533373e-01
2.859459519165480742e+03,9.713031792200224057e-01
2.859479950805973203e+03,9.683789934989367465e-01
2.859500382346355764e+03,9.663738741749492434e-01
2.859541245626649470e+03,9.661625939179369071e-01
2.859561677266567131e+03,9.637734535017205006e-01
2.859582109006369137e+03,9.615526887805415646e-01
2.859602540646046691e+03,9.598558160420560537e-01
2.859622972185614344e+03,9.584280387618198116e-01
2.859643403924943414e+03,9.585803979082445636e-01
2.859663835464278236e+03,9.618607218436364681e-01
2.859684267103497405e+03,9.718086630445418317e-01
2.859704698842484504e+03,9.850352470954304440e-01
2.859725130481347151e+03,9.948949886634959050e-01
2.859745562120100658e+03,9.980184506663641875e-01
2.859765993758730474e+03,1.000052716198506664e+00
2.859786425397251151e+03,1.003391167323095967e+00
2.859806857035655412e+03,1.005591548064337815e+00
2.859827288673826843e+03,1.008284166871434406e+00
2.859847720311990997e+03,1.011418607001640213e+00
2.859868152049930359e+03,1.013169594718442479e+00
2.859888583587744506e+03,1.016382637185232252e+00
2.859909015225450275e+03,1.019877517180113546e+00
2.859929446963040391e+03,1.022747340270164118e+00
2.859949878500512568e+03,1.025115831524148646e+00
2.859970310137861816e+03,1.026128759417603176e+00
2.859990741875102685e+03,1.027489536465535425e+00
2.860011173412101925e+03,1.028037855119599220e+00
2.860031605149109964e+03,1.029560704212105771e+00
2.860052036785884411e+03,1.030852577129447667e+00
2.860072468322541681e+03,1.031924220149030402e+00
2.860092900059193198e+03,1.031979074347703751e+00
2.860113331695618399e+03,1.031535444389755307e+00
2.860133763231919147e+03,1.030890193906617069e+00
2.860154194968112279e+03,1.028992988138093700e+00
2.860174626604188234e+03,1.027077136371949972e+00
2.860195058240024082e+03,1.024086070703214002e+00
2.860215489875867206e+03,1.021064507214862305e+00
2.860235921511593915e+03,1.018643841274130768e+00
2.860256353147080517e+03,1.015305508382823296e+00
2.860276784782574396e+03,1.011342821001582015e+00
2.860297216417835443e+03,1.008469267776205935e+00
2.860317648052972800e+03,1.004384104133963396e+00
2.860338079688117432e+03,1.001161304417263143e+00
2.860358511323029234e+03,9.966385590879227596e-01
2.860378943057818105e+03,9.929331183200270639e-01
2.860399374592496315e+03,9.894022801515358623e-01
2.860419806227058871e+03,9.859693547386124690e-01
2.860440237961498497e+03,9.821986178430311965e-01
2.860460669495827460e+03,9.795060173090347488e-01
2.860481101130040770e+03,9.778600606928394834e-01
2.860521964397994452e+03,9.752037932859417557e-01
2.860542396031858516e+03,9.719367257957117756e-01
2.860562827765483235e+03,9.693156098017879918e-01
2.860583259299113706e+03,9.672591369096513736e-01
2.860603691032512870e+03,9.608522037556661566e-01
2.860624122665903997e+03,9.378611571649441148e-01
2.860644554199068807e+03,9.056372752983492536e-01
2.860664985932118725e+03,8.723088158057977770e-01
2.860685417565160606e+03,8.501318915854150227e-01
2.860705849197976931e+03,8.435781467876830586e-01
2.860726280830676842e+03,8.414193460311957251e-01
2.860746712463369477e+03,8.410583827597583051e-01
2.860767144095836557e+03,8.416719054964935109e-01
2.860787575728187221e+03,8.437746147906337590e-01
2.860808007360414194e+03,8.475137684822720008e-01
2.860828438992532028e+03,8.512878589021789510e-01
2.860848870724526932e+03,8.555271956799120892e-01
2.860869302256411174e+03,8.715745928711413626e-01
2.860889733988180524e+03,9.027895013327795759e-01
2.860910165619832696e+03,9.358443021173624699e-01
2.860930597151476832e+03,9.630245824932970322e-01
2.860951028882780520e+03,9.758157023640005034e-01
2.860971460514076171e+03,9.787897733594961291e-01
2.860991892045378336e+03,9.809169007948816965e-01
2.861012323776332778e+03,9.828896388813651575e-01
2.861032755307402113e+03,9.841485410377499576e-01
2.861053186938115687e+03,9.862227180689135952e-01
2.861073618668837298e+03,9.882345178350090409e-01
2.861094050199557387e+03,9.905698321031940479e-01
2.861114481829921715e+03,9.913761791009116919e-01
2.861134913560294081e+03,9.936035516732090178e-01
2.861155345090548508e+03,9.961154686472797337e-01
2.861175776720796421e+03,9.973570425010579443e-01
2.861196208450703125e+03,9.988817411219919062e-01
2.861216640080601792e+03,1.000000668579575258e+00
2.861237071710391319e+03,1.000666573696857187e+00
2.861257503340180847e+03,1.002109646273124488e+00
2.861277934969737544e+03,1.003352115429064328e+00
2.861298366599170549e+03,1.004172610168538871e+00
2.861318798228494416e+03,1.004085656500260271e+00
2.861339229457698821e+03,1.004177546560475864e+00
2.861359661186783342e+03,1.003645010918852387e+00
2.861380092815874377e+03,1.003006190246338303e+00
2.861400524344731821e+03,1.002458692725875178e+00
2.861420956073467096e+03,1.001711330334212002e+00
2.861441387702092470e+03,1.001921648817731603e+00
2.861461819230717083e+03,1.001444480404082071e+00
2.861502682587379240e+03,1.000023840758392568e+00
2.861523114215655369e+03,1.000408526112525065e+00
2.861543545843691390e+03,9.997005216605224787e-01
2.861563977371733927e+03,1.001223443415216741e+00
2.861584409099661571e+03,1.002257830429226892e+00
2.861604840727348346e+03,1.003060813467614221e+00
2.861625272255041637e+03,1.003754733458308568e+00
2.861645703982620034e+03,1.004504687633812843e+00
2.861666135609957564e+03,1.006444564192481517e+00
2.861686567237302370e+03,1.009405607390604365e+00
2.861706998864530760e+03,1.011302926896106680e+00
2.861727430491635459e+03,1.013137568103861907e+00
2.861747862118631019e+03,1.014617314297671324e+00
2.861768293745510164e+03,1.015274604125102842e+00
2.861788725372265617e+03,1.016636454948028678e+00
2.861809157099029107e+03,1.017289792801211457e+00
2.861829588725559006e+03,1.011799061101011477e+00
2.861850020251964452e+03,1.000681303849500825e+00
2.861870451978378696e+03,9.875774318925446549e-01
2.861890883604559349e+03,9.799826104676303551e-01
2.861911315130731964e+03,9.770085187489372380e-01
2.861931746856796963e+03,9.759761841929456283e-01
2.861952178482628369e+03,9.746724623726363834e-01
2.861972610008451738e+03,9.728361169081810589e-01
2.861993041734167491e+03,9.706215813527850900e-01
2.862074768235972442e+03,9.635235632184381283e-01
2.862095199961098842e+03,9.655261126703903463e-01
2.862115631486230996e+03,9.739324434055907087e-01
2.862136063111131079e+03,9.845902087928237734e-01
2.862156494836024649e+03,9.923654896332610997e-01
2.862176926360807556e+03,9.918796678317147730e-01
2.862197357985358394e+03,9.907908107884032534e-01
2.862238221234452794e+03,9.892628138363676049e-01
2.862258652858770802e+03,9.892888297306530188e-01
2.862279084582965879e+03,9.894016402471697003e-01
2.862299516107166710e+03,9.890397942514352891e-01
2.862319947731135471e+03,9.898747910825241858e-01
2.862340379455097718e+03,9.900296671158164141e-01
